enterprise_nbr, naics_id_primary, naics_name_primary, naics_id_list, naics_name_list
1896787,515120,Television Broadcasting,|334220|515120|,|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Television Broadcasting|
1900356,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1896826,515120,Television Broadcasting,|515120|,|Television Broadcasting|
621844,813211,Grantmaking Foundations,|813211|,|Grantmaking Foundations|
1896489,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1898046,622110,General Medical and Surgical Hospitals,|622110|,|General Medical and Surgical Hospitals|
625297,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1896316,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1898886,311999,All Other Miscellaneous Food Manufacturing,|311999|,|All Other Miscellaneous Food Manufacturing|
1896426,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1899656,522310,Mortgage and Nonmortgage Loan Brokers,|522310|,|Mortgage and Nonmortgage Loan Brokers|
1893896,541199,All Other Legal Services,|541199|,|All Other Legal Services|
1896686,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1898206,622110,General Medical and Surgical Hospitals,|622110|,|General Medical and Surgical Hospitals|
1898736,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1898187,339112,Surgical and Medical Instrument Manufacturing,|339112|,|Surgical and Medical Instrument Manufacturing|
604120,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1893986,512230,Music Publishers,|512230|,|Music Publishers|
87457,511140,Database and Directory Publishers,|511199|511130|511140|,|All Other Publishers|Book Publishers|Database and Directory Publishers|
1894876,511210,Software Publishers,|511210|,|Software Publishers|
1894926,551112,Offices of Other Holding Companies,|551112|,|Offices of Other Holding Companies|
48720,339111,Laboratory Apparatus and Furniture Manufacturing,|339111|,|Laboratory Apparatus and Furniture Manufacturing|
56425,722110,Full-Service Restaurants,|722211|722110|,|Fast Food Restaurants|Full-Service Restaurants|
1895596,326211,Tire Manufacturing (except Retreading),|326211|,|Tire Manufacturing (except Retreading)|
9805,541110,Offices of Lawyers,|541110|,|Offices of Lawyers|
25277,325611,Soap and Other Detergent Manufacturing,|325181|325611|,|Alkalies and Chlorine Manufacturing|Soap and Other Detergent Manufacturing|
235494,334119,Other Computer Peripheral Equipment Manufacturing,|541512|334119|334418|,|Computer Systems Design Services|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|
20052,623311,Continuing Care Retirement Communities,|623311|623312|623110|623990|623220|623210|,|Continuing Care Retirement Communities|Homes for the Elderly|Nursing Care Facilities|Other Residential Care Facilities|Residential Mental Health and Substance Abuse Facilities|Residential Mental Retardation Facilities|
40236,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,|336415|541710|,"|Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing|Research and Development in the Physical, Engineering, and Life Sciences|"
26071,517110,Wired Telecommunications Carriers,|517510|515210|518111|517310|517110|,|Cable and Other Program Distribution|Cable and Other Subscription Programming|Internet Service Providers|Telecommunications Resellers|Wired Telecommunications Carriers|
471372,623110,Nursing Care Facilities,|623110|,|Nursing Care Facilities|
45433,515120,Television Broadcasting,|515120|,|Television Broadcasting|
30961,515210,Cable and Other Subscription Programming,|517510|515210|,|Cable and Other Program Distribution|Cable and Other Subscription Programming|
31991,332911,Industrial Valve Manufacturing,|332911|333911|,|Industrial Valve Manufacturing|Pump and Pumping Equipment Manufacturing|
68641,333319,Other Commercial and Service Industry Machinery Manufacturing,|333298|333319|333220|332410|333295|,|All Other Industrial Machinery Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Semiconductor Machinery Manufacturing|
67499,335931,Current-Carrying Wiring Device Manufacturing,|335999|334310|335931|238210|444190|333319|334419|333618|335129|335311|334418|334220|333992|,"|All Other Miscellaneous Electrical Equipment and Component Manufacturing|Audio and Video Equipment Manufacturing|Current-Carrying Wiring Device Manufacturing|Electrical Contractors|Other Building Material Dealers|Other Commercial and Service Industry Machinery Manufacturing|Other Electronic Component Manufacturing|Other Engine Equipment Manufacturing|Other Lighting Equipment Manufacturing|Power, Distribution, and Specialty Transformer Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Welding and Soldering Equipment Manufacturing|"
12541,334413,Semiconductor and Related Device Manufacturing,|334310|334419|334418|334220|334413|,|Audio and Video Equipment Manufacturing|Other Electronic Component Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Semiconductor and Related Device Manufacturing|
65258,334119,Other Computer Peripheral Equipment Manufacturing,|334310|334119|334419|334418|334220|,|Audio and Video Equipment Manufacturing|Other Computer Peripheral Equipment Manufacturing|Other Electronic Component Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|
27721,311412,Frozen Specialty Food Manufacturing,|425110|311412|424420|425120|,|Business to Business Electronic Markets|Frozen Specialty Food Manufacturing|Packaged Frozen Food Merchant Wholesalers|Wholesale Trade Agents and Brokers|
23680,333120,Construction Machinery Manufacturing,|336399|333120|336312|333131|336211|336340|336350|333618|336322|333923|336510|,"|All Other Motor Vehicle Parts Manufacturing|Construction Machinery Manufacturing|Gasoline Engine and Engine Parts Manufacturing|Mining Machinery and Equipment Manufacturing|Motor Vehicle Body Manufacturing|Motor Vehicle Brake System Manufacturing|Motor Vehicle Transmission and Power Train Parts Manufacturing|Other Engine Equipment Manufacturing|Other Motor Vehicle Electrical and Electronic Equipment Manufacturing|Overhead Traveling Crane, Hoist, and Monorail System Manufacturing|Railroad Rolling Stock Manufacturing|"
43530,551112,Offices of Other Holding Companies,|511199|511130|517510|515210|511140|512120|512110|511110|551112|511120|515111|515112|515120|,|All Other Publishers|Book Publishers|Cable and Other Program Distribution|Cable and Other Subscription Programming|Database and Directory Publishers|Motion Picture and Video Distribution|Motion Picture and Video Production|Newspaper Publishers|Offices of Other Holding Companies|Periodical Publishers|Radio Networks|Radio Stations|Television Broadcasting|
94306,511120,Periodical Publishers,|511120|813110|,|Periodical Publishers|Religious Organizations|
95171,333319,Other Commercial and Service Industry Machinery Manufacturing,|333298|333319|333220|332410|333295|,|All Other Industrial Machinery Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Semiconductor Machinery Manufacturing|
95879,325620,Toilet Preparation Manufacturing,|325611|325620|,|Soap and Other Detergent Manufacturing|Toilet Preparation Manufacturing|
97609,813910,Business Associations,|813910|,|Business Associations|
97680,813910,Business Associations,|813910|,|Business Associations|
98341,211111,Crude Petroleum and Natural Gas Extraction,|211111|,|Crude Petroleum and Natural Gas Extraction|
52676,236220,Commercial and Institutional Building Construction,|522298|236220|236210|522293|523999|236117|236115|522292|236118|522220|522294|523991|,"|All Other Nondepository Credit Intermediation|Commercial and Institutional Building Construction|Industrial Building Construction|International Trade Financing|Miscellaneous Financial Investment Activities|New Housing Operative Builders|New Single-Family Housing Construction (except Operative Builders)|Real Estate Credit|Residential Remodelers|Sales Financing|Secondary Market Financing|Trust, Fiduciary, and Custody Activities|"
93531,315992,Glove and Mitten Manufacturing,|315992|315211|,|Glove and Mitten Manufacturing|Men's and Boys' Cut and Sew Apparel Contractors|
93717,316219,Other Footwear Manufacturing,|326199|316219|326122|326121|,|All Other Plastics Product Manufacturing|Other Footwear Manufacturing|Plastics Pipe and Pipe Fitting Manufacturing|Unsupported Plastics Profile Shape Manufacturing|
94522,323112,Commercial Flexographic Printing,|323112|323111|323113|511191|323119|,|Commercial Flexographic Printing|Commercial Gravure Printing|Commercial Screen Printing|Greeting Card Publishers|Other Commercial Printing|
95319,441310,Automotive Parts and Accessories Stores,|811198|441310|811118|,|All Other Automotive Repair and Maintenance|Automotive Parts and Accessories Stores|Other Automotive Mechanical and Electrical Repair and Maintenance|
45527,339920,Sporting and Athletic Goods Manufacturing,|336991|339920|,"|Motorcycle, Bicycle, and Parts Manufacturing|Sporting and Athletic Goods Manufacturing|"
61957,333319,Other Commercial and Service Industry Machinery Manufacturing,|333298|333999|314999|333414|334513|333319|333220|332410|333295|,"|All Other Industrial Machinery Manufacturing|All Other Miscellaneous General Purpose Machinery Manufacturing|All Other Miscellaneous Textile Product Mills|Heating Equipment (except Warm Air Furnaces) Manufacturing|Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Semiconductor Machinery Manufacturing|"
63026,312221,Cigarette Manufacturing,|312221|,|Cigarette Manufacturing|
99970,333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing",|333312|333292|,"|Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing|Textile Machinery Manufacturing|"
96997,325312,Phosphatic Fertilizer Manufacturing,|325311|325312|,|Nitrogenous Fertilizer Manufacturing|Phosphatic Fertilizer Manufacturing|
126848,334518,"Watch, Clock, and Part Manufacturing",|339111|334519|334514|334518|,"|Laboratory Apparatus and Furniture Manufacturing|Other Measuring and Controlling Device Manufacturing|Totalizing Fluid Meter and Counting Device Manufacturing|Watch, Clock, and Part Manufacturing|"
78977,525930,Real Estate Investment Trusts,|525930|,|Real Estate Investment Trusts|
79916,445110,Supermarkets and Other Grocery (except Convenience) Stores,|445110|,|Supermarkets and Other Grocery (except Convenience) Stores|
50649,311512,Creamery Butter Manufacturing,|445299|112111|311513|112310|311512|,|All Other Specialty Food Stores|Beef Cattle Ranching and Farming|Cheese Manufacturing|Chicken Egg Production|Creamery Butter Manufacturing|
125386,425110,Business to Business Electronic Markets,|425110|424130|,|Business to Business Electronic Markets|Industrial and Personal Service Paper Merchant Wholesalers|
273195,511110,Newspaper Publishers,|511110|511120|,|Newspaper Publishers|Periodical Publishers|
475793,511140,Database and Directory Publishers,|511199|511130|511140|,|All Other Publishers|Book Publishers|Database and Directory Publishers|
239229,441110,New Car Dealers,|441310|441110|441120|,|Automotive Parts and Accessories Stores|New Car Dealers|Used Car Dealers|
274641,425120,Wholesale Trade Agents and Brokers,|423110|425110|425120|,|Automobile and Other Motor Vehicle Merchant Wholesalers|Business to Business Electronic Markets|Wholesale Trade Agents and Brokers|
84618,511110,Newspaper Publishers,|511110|511120|,|Newspaper Publishers|Periodical Publishers|
111392,221122,Electric Power Distribution,|221121|221122|221210|221119|,|Electric Bulk Power Transmission and Control|Electric Power Distribution|Natural Gas Distribution|Other Electric Power Generation|
202522,551112,Offices of Other Holding Companies,|551112|,|Offices of Other Holding Companies|
112401,334518,"Watch, Clock, and Part Manufacturing",|339942|334518|,"|Lead Pencil and Art Good Manufacturing|Watch, Clock, and Part Manufacturing|"
82715,453210,Office Supplies and Stationery Stores,|453210|,|Office Supplies and Stationery Stores|
91448,332911,Industrial Valve Manufacturing,|333120|332911|333923|336510|,"|Construction Machinery Manufacturing|Industrial Valve Manufacturing|Overhead Traveling Crane, Hoist, and Monorail System Manufacturing|Railroad Rolling Stock Manufacturing|"
92077,325612,Polish and Other Sanitation Good Manufacturing,|325320|325612|,|Pesticide and Other Agricultural Chemical Manufacturing|Polish and Other Sanitation Good Manufacturing|
92122,312229,Other Tobacco Product Manufacturing,|454113|312229|312210|,|Mail-Order Houses|Other Tobacco Product Manufacturing|Tobacco Stemming and Redrying|
206890,325412,Pharmaceutical Preparation Manufacturing,|325412|,|Pharmaceutical Preparation Manufacturing|
458213,522210,Credit Card Issuing,|522298|522291|522210|522220|,|All Other Nondepository Credit Intermediation|Consumer Lending|Credit Card Issuing|Sales Financing|
471690,561330,Employee Leasing Services,|561330|621610|561320|,|Employee Leasing Services|Home Health Care Services|Temporary Help Services|
423818,212234,Copper Ore and Nickel Ore Mining,|212234|212231|331411|,|Copper Ore and Nickel Ore Mining|Lead Ore and Zinc Ore Mining|Primary Smelting and Refining of Copper|
92853,445210,Meat Markets,|445210|311612|,|Meat Markets|Meat Processed from Carcasses|
92960,333294,Food Product Machinery Manufacturing,|425110|333294|445230|423440|424420|445110|425120|,|Business to Business Electronic Markets|Food Product Machinery Manufacturing|Fruit and Vegetable Markets|Other Commercial Equipment Merchant Wholesalers|Packaged Frozen Food Merchant Wholesalers|Supermarkets and Other Grocery (except Convenience) Stores|Wholesale Trade Agents and Brokers|
93860,333293,Printing Machinery and Equipment Manufacturing,|334119|334418|333293|,|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Printing Machinery and Equipment Manufacturing|
197586,721199,All Other Traveler Accommodation,|721199|721110|237210|,|All Other Traveler Accommodation|Hotels (except Casino Hotels) and Motels|Land Subdivision|
96412,311812,Commercial Bakeries,|311812|451110|339920|,|Commercial Bakeries|Sporting Goods Stores|Sporting and Athletic Goods Manufacturing|
97373,339111,Laboratory Apparatus and Furniture Manufacturing,|334510|334517|339111|,|Electromedical and Electrotherapeutic Apparatus Manufacturing|Irradiation Apparatus Manufacturing|Laboratory Apparatus and Furniture Manufacturing|
124375,445299,All Other Specialty Food Stores,|445299|325611|325620|,|All Other Specialty Food Stores|Soap and Other Detergent Manufacturing|Toilet Preparation Manufacturing|
347565,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,|334310|332312|333414|332321|334419|332439|334418|334220|332322|334210|,|Audio and Video Equipment Manufacturing|Fabricated Structural Metal Manufacturing|Heating Equipment (except Warm Air Furnaces) Manufacturing|Metal Window and Door Manufacturing|Other Electronic Component Manufacturing|Other Metal Container Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Sheet Metal Work Manufacturing|Telephone Apparatus Manufacturing|
49200,332322,Sheet Metal Work Manufacturing,|332321|332323|332439|332322|,|Metal Window and Door Manufacturing|Ornamental and Architectural Metal Work Manufacturing|Other Metal Container Manufacturing|Sheet Metal Work Manufacturing|
94203,611710,Educational Support Services,|541870|561499|611699|561990|611710|561439|512290|,|Advertising Material Distribution Services|All Other Business Support Services|All Other Miscellaneous Schools and Instruction|All Other Support Services|Educational Support Services|Other Business Service Centers (including Copy Shops)|Other Sound Recording Industries|
95745,325620,Toilet Preparation Manufacturing,|325412|325611|325620|,|Pharmaceutical Preparation Manufacturing|Soap and Other Detergent Manufacturing|Toilet Preparation Manufacturing|
426417,311212,Rice Milling,|311423|311823|311212|,|Dried and Dehydrated Food Manufacturing|Dry Pasta Manufacturing|Rice Milling|
99572,339993,"Fastener, Button, Needle, and Pin Manufacturing",|332722|339993|,"|Bolt, Nut, Screw, Rivet, and Washer Manufacturing|Fastener, Button, Needle, and Pin Manufacturing|"
99764,561110,Office Administrative Services,|561110|,|Office Administrative Services|
84089,722110,Full-Service Restaurants,|311812|722110|,|Commercial Bakeries|Full-Service Restaurants|
104960,333992,Welding and Soldering Equipment Manufacturing,|335999|333319|333618|335129|333992|,|All Other Miscellaneous Electrical Equipment and Component Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Other Engine Equipment Manufacturing|Other Lighting Equipment Manufacturing|Welding and Soldering Equipment Manufacturing|
77424,311423,Dried and Dehydrated Food Manufacturing,|311320|311330|311423|311823|,|Chocolate and Confectionery Manufacturing from Cacao Beans|Confectionery Manufacturing from Purchased Chocolate|Dried and Dehydrated Food Manufacturing|Dry Pasta Manufacturing|
78512,339920,Sporting and Athletic Goods Manufacturing,|316991|339920|,|Luggage Manufacturing|Sporting and Athletic Goods Manufacturing|
133056,425120,Wholesale Trade Agents and Brokers,|423110|441310|425110|425120|,|Automobile and Other Motor Vehicle Merchant Wholesalers|Automotive Parts and Accessories Stores|Business to Business Electronic Markets|Wholesale Trade Agents and Brokers|
113147,515112,Radio Stations,|515111|515112|,|Radio Networks|Radio Stations|
42293,522120,Savings Institutions,|522120|221310|,|Savings Institutions|Water Supply and Irrigation Systems|
63117,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",|311411|311412|,"|Frozen Fruit, Juice, and Vegetable Manufacturing|Frozen Specialty Food Manufacturing|"
86500,333922,Conveyor and Conveying Equipment Manufacturing,|333922|,|Conveyor and Conveying Equipment Manufacturing|
17825,334514,Totalizing Fluid Meter and Counting Device Manufacturing,|332911|332919|334514|,|Industrial Valve Manufacturing|Other Metal Valve and Pipe Fitting Manufacturing|Totalizing Fluid Meter and Counting Device Manufacturing|
144169,444210,Outdoor Power Equipment Stores,|332212|333112|444210|,|Hand and Edge Tool Manufacturing|Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing|Outdoor Power Equipment Stores|
144184,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",|561599|813410|813990|,"|All Other Travel Arrangement and Reservation Services|Civic and Social Organizations|Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)|"
147508,445110,Supermarkets and Other Grocery (except Convenience) Stores,|445120|445220|445230|447110|445210|454390|445110|452910|,|Convenience Stores|Fish and Seafood Markets|Fruit and Vegetable Markets|Gasoline Stations with Convenience Stores|Meat Markets|Other Direct Selling Establishments|Supermarkets and Other Grocery (except Convenience) Stores|Warehouse Clubs and Superstores|
58369,511120,Periodical Publishers,|511120|,|Periodical Publishers|
168782,325320,Pesticide and Other Agricultural Chemical Manufacturing,|325311|325320|,|Nitrogenous Fertilizer Manufacturing|Pesticide and Other Agricultural Chemical Manufacturing|
96795,333131,Mining Machinery and Equipment Manufacturing,|333294|333131|,|Food Product Machinery Manufacturing|Mining Machinery and Equipment Manufacturing|
224149,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,|423110|,|Automobile and Other Motor Vehicle Merchant Wholesalers|
151785,448310,Jewelry Stores,|448310|333314|334518|,"|Jewelry Stores|Optical Instrument and Lens Manufacturing|Watch, Clock, and Part Manufacturing|"
156919,561499,All Other Business Support Services,|541870|561499|561990|322212|561439|541890|541490|,|Advertising Material Distribution Services|All Other Business Support Services|All Other Support Services|Folding Paperboard Box Manufacturing|Other Business Service Centers (including Copy Shops)|Other Services Related to Advertising|Other Specialized Design Services|
159108,447190,Other Gasoline Stations,|445120|447110|447190|445110|452910|,|Convenience Stores|Gasoline Stations with Convenience Stores|Other Gasoline Stations|Supermarkets and Other Grocery (except Convenience) Stores|Warehouse Clubs and Superstores|
1898147,713940,Fitness and Recreational Sports Centers,|713940|,|Fitness and Recreational Sports Centers|
144506,334611,Software Reproducing,|511210|334611|,|Software Publishers|Software Reproducing|
142964,621512,Diagnostic Imaging Centers,|621512|,|Diagnostic Imaging Centers|
22298,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,|333298|333414|551112|333319|333220|332410|333295|,|All Other Industrial Machinery Manufacturing|Heating Equipment (except Warm Air Furnaces) Manufacturing|Offices of Other Holding Companies|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Semiconductor Machinery Manufacturing|
120749,334111,Electronic Computer Manufacturing,|334111|,|Electronic Computer Manufacturing|
289797,531210,Offices of Real Estate Agents and Brokers,|531110|531312|531210|531320|531390|813990|531311|,"|Lessors of Residential Buildings and Dwellings|Nonresidential Property Managers|Offices of Real Estate Agents and Brokers|Offices of Real Estate Appraisers|Other Activities Related to Real Estate|Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)|Residential Property Managers|"
170564,336340,Motor Vehicle Brake System Manufacturing,|336399|441310|442110|336312|336211|336340|336350|336322|,|All Other Motor Vehicle Parts Manufacturing|Automotive Parts and Accessories Stores|Furniture Stores|Gasoline Engine and Engine Parts Manufacturing|Motor Vehicle Body Manufacturing|Motor Vehicle Brake System Manufacturing|Motor Vehicle Transmission and Power Train Parts Manufacturing|Other Motor Vehicle Electrical and Electronic Equipment Manufacturing|
128115,512110,Motion Picture and Video Production,|512120|512110|,|Motion Picture and Video Distribution|Motion Picture and Video Production|
131627,336120,Heavy Duty Truck Manufacturing,|336111|441310|336120|336112|336992|336211|,"|Automobile Manufacturing|Automotive Parts and Accessories Stores|Heavy Duty Truck Manufacturing|Light Truck and Utility Vehicle Manufacturing|Military Armored Vehicle, Tank, and Tank Component Manufacturing|Motor Vehicle Body Manufacturing|"
108081,333315,Photographic and Photocopying Equipment Manufacturing,|333315|,|Photographic and Photocopying Equipment Manufacturing|
132249,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",|423940|,"|Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers|"
108123,541611,Administrative Management and General Management Consulting Service,|541611|541612|541613|541614|,"|Administrative Management and General Management Consulting Service|Human Resources and Executive Search Consulting Services|Marketing Consulting Services|Process, Physical Distribution, and Logistics Consulting Services|"
159626,333294,Food Product Machinery Manufacturing,|333294|,|Food Product Machinery Manufacturing|
160157,334518,"Watch, Clock, and Part Manufacturing",|339111|334519|334514|334518|,"|Laboratory Apparatus and Furniture Manufacturing|Other Measuring and Controlling Device Manufacturing|Totalizing Fluid Meter and Counting Device Manufacturing|Watch, Clock, and Part Manufacturing|"
24702,336212,Truck Trailer Manufacturing,|336212|,|Truck Trailer Manufacturing|
189033,551112,Offices of Other Holding Companies,|524114|524113|524126|523110|523999|523910|551112|524128|525190|523120|,"|Direct Health and Medical Insurance Carriers|Direct Life Insurance Carriers|Direct Property and Casualty Insurance Carriers|Investment Banking and Securities Dealing|Miscellaneous Financial Investment Activities|Miscellaneous Intermediation|Offices of Other Holding Companies|Other Direct Insurance (except Life, Health, and Medical) Carriers|Other Insurance Funds|Securities Brokerage|"
189082,551112,Offices of Other Holding Companies,|523930|523110|523999|523910|551112|525910|523920|523120|523991|,"|Investment Advice|Investment Banking and Securities Dealing|Miscellaneous Financial Investment Activities|Miscellaneous Intermediation|Offices of Other Holding Companies|Open-End Investment Funds|Portfolio Management|Securities Brokerage|Trust, Fiduciary, and Custody Activities|"
207143,425120,Wholesale Trade Agents and Brokers,|425110|423830|425120|,|Business to Business Electronic Markets|Industrial Machinery and Equipment Merchant Wholesalers|Wholesale Trade Agents and Brokers|
208417,311423,Dried and Dehydrated Food Manufacturing,|311423|311823|,|Dried and Dehydrated Food Manufacturing|Dry Pasta Manufacturing|
586211,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
175613,441310,Automotive Parts and Accessories Stores,|441310|,|Automotive Parts and Accessories Stores|
349092,711211,Sports Teams and Clubs,|711211|,|Sports Teams and Clubs|
349114,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,|334310|339992|334419|334418|334220|,|Audio and Video Equipment Manufacturing|Musical Instrument Manufacturing|Other Electronic Component Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|
200382,325412,Pharmaceutical Preparation Manufacturing,|325414|325412|541720|,|Biological Product (except Diagnostic) Manufacturing|Pharmaceutical Preparation Manufacturing|Research and Development in the Social Sciences and Humanities|
149254,551112,Offices of Other Holding Companies,|551112|,|Offices of Other Holding Companies|
73246,339114,Dental Equipment and Supplies Manufacturing,|339114|,|Dental Equipment and Supplies Manufacturing|
96889,325311,Nitrogenous Fertilizer Manufacturing,|325311|325312|,|Nitrogenous Fertilizer Manufacturing|Phosphatic Fertilizer Manufacturing|
201008,336412,Aircraft Engine and Engine Parts Manufacturing,|336412|611699|611710|541710|,"|Aircraft Engine and Engine Parts Manufacturing|All Other Miscellaneous Schools and Instruction|Educational Support Services|Research and Development in the Physical, Engineering, and Life Sciences|"
201773,488999,All Other Support Activities for Transportation,|488999|561599|481111|,|All Other Support Activities for Transportation|All Other Travel Arrangement and Reservation Services|Scheduled Passenger Air Transportation|
258358,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,|334220|,|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|
184003,561492,Court Reporting and Stenotype Services,|323112|323113|561492|323115|561410|323119|323114|,|Commercial Flexographic Printing|Commercial Screen Printing|Court Reporting and Stenotype Services|Digital Printing|Document Preparation Services|Other Commercial Printing|Quick Printing|
432545,324199,All Other Petroleum and Coal Products Manufacturing,|324199|331111|331221|,|All Other Petroleum and Coal Products Manufacturing|Iron and Steel Mills|Rolled Steel Shape Manufacturing|
186684,444190,Other Building Material Dealers,|443120|444190|443112|,"|Computer and Software Stores|Other Building Material Dealers|Radio, Television, and Other Electronics Stores|"
334785,541512,Computer Systems Design Services,|541870|561499|561990|541512|541511|561439|,|Advertising Material Distribution Services|All Other Business Support Services|All Other Support Services|Computer Systems Design Services|Custom Computer Programming Services|Other Business Service Centers (including Copy Shops)|
187896,921130,Public Finance Activities,|921130|,|Public Finance Activities|
183617,313113,Thread Mills,|313312|313113|,|Textile and Fabric Finishing (except Broadwoven Fabric) Mills|Thread Mills|
184209,541512,Computer Systems Design Services,|541512|511210|334611|,|Computer Systems Design Services|Software Publishers|Software Reproducing|
207356,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,|333999|314999|333414|,|All Other Miscellaneous General Purpose Machinery Manufacturing|All Other Miscellaneous Textile Product Mills|Heating Equipment (except Warm Air Furnaces) Manufacturing|
208020,721199,All Other Traveler Accommodation,|721199|722110|721110|,|All Other Traveler Accommodation|Full-Service Restaurants|Hotels (except Casino Hotels) and Motels|
461642,454112,Electronic Auctions,|451211|454112|454113|,|Book Stores|Electronic Auctions|Mail-Order Houses|
171676,541330,Engineering Services,|611710|541330|236210|237120|237990|541618|237130|237110|,|Educational Support Services|Engineering Services|Industrial Building Construction|Oil and Gas Pipeline and Related Structures Construction|Other Heavy and Civil Engineering Construction|Other Management Consulting Services|Power and Communication Line and Related Structures Construction|Water and Sewer Line and Related Structures Construction|
196465,311919,Other Snack Food Manufacturing,|311423|311823|311411|311919|311911|,"|Dried and Dehydrated Food Manufacturing|Dry Pasta Manufacturing|Frozen Fruit, Juice, and Vegetable Manufacturing|Other Snack Food Manufacturing|Roasted Nuts and Peanut Butter Manufacturing|"
45921,524114,Direct Health and Medical Insurance Carriers,|524114|524113|524128|525190|,"|Direct Health and Medical Insurance Carriers|Direct Life Insurance Carriers|Other Direct Insurance (except Life, Health, and Medical) Carriers|Other Insurance Funds|"
348592,339941,Pen and Mechanical Pencil Manufacturing,|339941|,|Pen and Mechanical Pencil Manufacturing|
196524,334611,Software Reproducing,|334119|334418|511210|334611|,|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Software Publishers|Software Reproducing|
348547,541512,Computer Systems Design Services,|541512|,|Computer Systems Design Services|
349188,541420,Industrial Design Services,|541870|561499|561990|541420|561439|541890|541490|,|Advertising Material Distribution Services|All Other Business Support Services|All Other Support Services|Industrial Design Services|Other Business Service Centers (including Copy Shops)|Other Services Related to Advertising|Other Specialized Design Services|
181319,522110,Commercial Banking,|522110|,|Commercial Banking|
196666,551111,Offices of Bank Holding Companies,|522110|551111|522120|,|Commercial Banking|Offices of Bank Holding Companies|Savings Institutions|
1896829,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
180744,813910,Business Associations,|813910|,|Business Associations|
181484,337121,Upholstered Household Furniture Manufacturing,|337215|337121|,"|Showcase, Partition, Shelving, and Locker Manufacturing|Upholstered Household Furniture Manufacturing|"
203062,511120,Periodical Publishers,|511120|,|Periodical Publishers|
