enterprise_nbr, naics_id_primary, naics_name_primary, naics_id_list, naics_name_list
483897,315211,Men's and Boys' Cut and Sew Apparel Contractors,|315299|448130|448150|315291|315211|315228|315223|315222|315221|315999|448190|325611|325620|315192|448120|316214|316992|315233|315231|315239|315212|,"|All Other Cut and Sew Apparel Manufacturing|Children's and Infants' Clothing Stores|Clothing Accessories Stores|Infants' Cut and Sew Apparel Manufacturing|Men's and Boys' Cut and Sew Apparel Contractors|Men's and Boys' Cut and Sew Other Outerwear Manufacturing|Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing|Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing|Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing|Other Apparel Accessories and Other Apparel Manufacturing|Other Clothing Stores|Soap and Other Detergent Manufacturing|Toilet Preparation Manufacturing|Underwear and Nightwear Knitting Mills|Women's Clothing Stores|Women's Footwear (except Athletic) Manufacturing|Women's Handbag and Purse Manufacturing|Women's and Girls' Cut and Sew Dress Manufacturing|Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing|Women's and Girls' Cut and Sew Other Outerwear Manufacturing|Women's, Girls', and Infants' Cut and Sew Apparel Contractors|"
460428,551112,Offices of Other Holding Companies,|721199|721120|721110|551112|,|All Other Traveler Accommodation|Casino Hotels|Hotels (except Casino Hotels) and Motels|Offices of Other Holding Companies|
509226,522110,Commercial Banking,|522110|,|Commercial Banking|
499141,525930,Real Estate Investment Trusts,|493110|525930|,|General Warehousing and Storage|Real Estate Investment Trusts|
506403,336111,Automobile Manufacturing,|336111|336992|336211|,"|Automobile Manufacturing|Military Armored Vehicle, Tank, and Tank Component Manufacturing|Motor Vehicle Body Manufacturing|"
504171,531210,Offices of Real Estate Agents and Brokers,|531110|531312|531210|531320|531390|813990|531311|,"|Lessors of Residential Buildings and Dwellings|Nonresidential Property Managers|Offices of Real Estate Agents and Brokers|Offices of Real Estate Appraisers|Other Activities Related to Real Estate|Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)|Residential Property Managers|"
513928,315211,Men's and Boys' Cut and Sew Apparel Contractors,|315299|315291|315211|315228|315221|315999|316219|315192|315231|315239|315212|,"|All Other Cut and Sew Apparel Manufacturing|Infants' Cut and Sew Apparel Manufacturing|Men's and Boys' Cut and Sew Apparel Contractors|Men's and Boys' Cut and Sew Other Outerwear Manufacturing|Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing|Other Apparel Accessories and Other Apparel Manufacturing|Other Footwear Manufacturing|Underwear and Nightwear Knitting Mills|Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing|Women's and Girls' Cut and Sew Other Outerwear Manufacturing|Women's, Girls', and Infants' Cut and Sew Apparel Contractors|"
518411,481111,Scheduled Passenger Air Transportation,|481111|,|Scheduled Passenger Air Transportation|
70551,315211,Men's and Boys' Cut and Sew Apparel Contractors,|315211|315228|,|Men's and Boys' Cut and Sew Apparel Contractors|Men's and Boys' Cut and Sew Other Outerwear Manufacturing|
142940,331221,Rolled Steel Shape Manufacturing,|331221|,|Rolled Steel Shape Manufacturing|
336411,326111,Unsupported Plastics Bag Manufacturing,|333993|326111|,|Packaging Machinery Manufacturing|Unsupported Plastics Bag Manufacturing|
257105,541870,Advertising Material Distribution Services,|541870|541850|541890|,|Advertising Material Distribution Services|Display Advertising|Other Services Related to Advertising|
